no,comment,Judul Video,Label (Ridho)
1,Alhamdulillah akhrinyaa kurikulum merdeka bany banget tugas nya dn bany mengeluarkan biaya iya yang punya uang yang tidak punya uang ksian,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
2,Zonasi bikin ribet,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
4,Kalau bisa sekolah SMA<br>Juga  kabupaten <br>Jangan propinsi,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
5,Syukurlah...,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Pro
6,"Kurikulum merdeka , pebisnis aplikasi dan LKS lah yg merdeka lancar berbisnis, sementara siswa makin bodoh atau malasaja bukannya makin pintar, lihat aja anak2 sekarang rata2 kurang lancar menulis ketika didikte😅",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
7,MANTAP MAS GIBRAN 👍.<br>SEGERA HAPUS KURIKULUM MERDEKA SGT TIDAK EFISIEN.,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
8,Kurikulum merdeka guru mapel jam kurang dipakai proyek p5 tolong kembalikan kurikulum seperti dulu KTSP,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
9,"Tolong guru jangan dipersulit adminitrasi, kurikulum seperti dulu KTSP, ada ujian",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
10,Pak wa pres zonasi bikin kacau aja...,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
11,Nek ora disetop Siap dijajah lagi oleh Amerika Serikat Kristen inggris Swedia Prancis Jerman bukan lagi Belanda sekarang Krn yg menginginkan NKRI  antrinya kyk antri BLT dan sembako,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
12,😂😂😂😂😂nasib bener Indonesia 😂😂😂😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
